Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
111,113,victory team brought euphoria city,euphoria,20210810 211500,sportsfanatic,instagram,euphoria victory,15.0,30.0,usa,2021,8,10,21
112,114,embracing beauty nature moment contentment,contentment,20110620 144500,naturelover2,facebook,contentment nature,25.0,50.0,india,2011,6,20,14
113,115,meditating serene lake finding inner peace,serenity,20220212 182000,zenmaster2,twitter,serenity meditation,18.0,35.0,uk,2022,2,12,18
114,116,overflowing gratitude lifes blessings,gratitude,20121125 100000,thankfulheart,instagram,gratitude blessed,30.0,60.0,australia,2012,11,25,10
115,117,hopeful brighter tomorrow despite challenges,hope,20130405 193000,optimisticsoul,facebook,hope optimism,22.0,45.0,usa,2013,4,5,19
116,118,empowered make difference community,empowerment,20140914 083000,communityleader,twitter,empowerment community,15.0,30.0,uk,2014,9,14,8
117,119,compassion action supporting local charity event,compassion,20150718 142000,charitysupporter,instagram,compassion charityevent,18.0,35.0,canada,2015,7,18,14
118,120,moment tenderness connecting loved ones,tenderness,20160223 194500,lovingheart,facebook,tenderness familytime,25.0,50.0,uk,2016,2,23,19
119,121,arousal excitement await special announcement,arousal,20171030 113000,excitementfan,twitter,arousal excitement,20.0,40.0,australia,2017,10,30,11
120,122,enthusiastically diving new project,enthusiasm,20180615 160000,projectenthusiast,instagram,enthusiasm newproject,15.0,30.0,usa,2018,6,15,16
121,123,feeling sense fulfillment reaching milestone,fulfillment,20190328 182000,milestoneachiever,facebook,fulfillment milestone,22.0,45.0,india,2019,3,28,18
122,124,reverence beauty historic landmark,reverence,20191111 150000,historylover,twitter,reverence history,18.0,35.0,uk,2019,11,11,15
123,125,elation surprise reunion old friends,elation,20200402 093000,joyfulreunion2,instagram,elation oldfriends,25.0,50.0,canada,2020,4,2,9
124,126,euphoria live music concert stars,euphoria,20210619 144500,musicenthusiast,facebook,euphoria livemusic,15.0,30.0,usa,2021,6,19,14
125,127,contentment simplicity quiet sunday,contentment,20100815 100000,simplejoys,twitter,contentment sundaymood,30.0,60.0,australia,2010,8,15,10
126,128,serenity found pages favorite book,serenity,20110922 193000,booklover3,instagram,serenity booktime,22.0,45.0,uk,2011,9,22,19
127,129,gratitude support received tough times,gratitude,20120310 083000,supportivefriend,facebook,gratitude supportive,15.0,30.0,india,2012,3,10,8
128,130,hopeful possibilities new journey,hope,20131205 160000,journeyoptimist,twitter,hope newbeginnings,18.0,35.0,canada,2013,12,5,16
129,131,empowerment learning personal growth,empowerment,20140720 113000,growthseeker,instagram,empowerment personalgrowth,25.0,50.0,usa,2014,7,20,11
130,132,compassion towards need holidays,compassion,20151222 142000,holidayhelper,facebook,compassion holidaysupport,18.0,35.0,usa,2015,12,22,14
131,133,tenderness warmth cozy winter evening,tenderness,20160210 194500,winterwarmth,twitter,tenderness cozyevening,25.0,50.0,uk,2016,2,10,19
132,134,arousal excitement upcoming adventure,arousal,20170430 113000,adventureawaits,instagram,arousal adventuretime,20.0,40.0,australia,2017,4,30,11
133,135,enthusiasm creative project making,enthusiasm,20180915 160000,creativespirit,facebook,enthusiasm creativity,15.0,30.0,canada,2018,9,15,16
134,136,fulfillment completing challenging workout routine,fulfillment,20190628 182000,fitnessachiever,twitter,fulfillment fitnessgoals,22.0,45.0,india,2019,6,28,18
135,137,reverence artistry displayed museum,reverence,20201111 150000,artappreciator,instagram,reverence artappreciation,18.0,35.0,uk,2020,11,11,15
136,138,elation achieving personal goal,elation,20210302 093000,goalachiever2,facebook,elation personalachievement,25.0,50.0,usa,2021,3,2,9
137,139,elation discovering hidden gem city,elation,20120218 143000,urbanexplorer2,twitter,elation hiddengem,20.0,40.0,usa,2012,2,18,14
138,140,euphoria surprise birthday celebration,euphoria,20181105 214500,birthdayjoy,instagram,euphoria birthdaysurprise,15.0,30.0,uk,2018,11,5,21
139,141,contentment simplicity homecooked meal,contentment,20150912 132000,homechef,facebook,contentment homecooking,25.0,50.0,india,2015,9,12,13
140,142,serenity found melody peaceful piano,serenity,20160730 181000,musiclover4,twitter,serenity peacefulmelody,18.0,35.0,canada,2016,7,30,18
141,143,gratitude supportive community around,gratitude,20130420 103000,communitylove,instagram,gratitude communitysupport,30.0,60.0,usa,2013,4,20,10
142,144,hopeful prospects new business venture,hope,20171208 191500,entrepreneurhope,facebook,hope businessventure,22.0,45.0,canada,2017,12,8,19
143,145,empowerment mentoring guiding others,empowerment,20140603 082000,mentorempower,twitter,empowerment mentorship,15.0,30.0,uk,2014,6,3,8
144,146,compassion shown acts kindness community,compassion,20190115 145000,kindnessinaction,instagram,compassion communitykindness,18.0,35.0,australia,2019,1,15,14
145,147,tenderness heartfelt message loved one,tenderness,20161225 193000,loveexpress,facebook,tenderness lovenote,25.0,50.0,uk,2016,12,25,19
146,148,arousal excitement muchawaited trip,arousal,20180310 094500,travelexcitement,twitter,arousal traveladventure,20.0,40.0,india,2018,3,10,9
147,149,enthusiasm new artistic project works,enthusiasm,20200917 163000,artisticspirit,instagram,enthusiasm artisticproject,15.0,30.0,usa,2020,9,17,16
148,150,feeling sense fulfillment helping others,fulfillment,20110828 184500,helperheart,facebook,fulfillment helpingothers,22.0,45.0,canada,2011,8,28,18
149,151,reverence historical significance landmark,reverence,20171101 153000,historybuff,twitter,reverence historicalsite,18.0,35.0,australia,2017,11,1,15
150,152,elation achieving fitness milestone,elation,20190615 100000,fitnessachiever2,instagram,elation fitnessmilestone,25.0,50.0,uk,2019,6,15,10
151,153,euphoria successful product launch,euphoria,20220403 114500,productlaunchjoy,facebook,euphoria productlaunchsuccess,15.0,30.0,usa,2022,4,3,11
152,154,contentment embrace loved one,contentment,20101112 202000,lovingembrace,twitter,contentment love,30.0,60.0,india,2010,11,12,20
153,155,serenity found beauty sunset sea,serenity,20110722 183000,sunsetwatcher2,instagram,serenity sunsetviews,22.0,45.0,canada,2011,7,22,18
154,156,gratitude small joys day brings,gratitude,20120330 112000,joyfulheart2,facebook,gratitude smalljoys,15.0,30.0,australia,2012,3,30,11
155,157,hopeful potential personal growth,hope,20131005 164000,growthoptimist,twitter,hope personaldevelopment,18.0,35.0,uk,2013,10,5,16
156,158,empowerment learning new skill,empowerment,20140710 131500,skillempower,instagram,empowerment skillbuilding,25.0,50.0,india,2014,7,10,13
157,159,compassion volunteering local charity,compassion,20151218 142000,charityvolunteer,facebook,compassion volunteerwork,18.0,35.0,usa,2015,12,18,14
158,160,tenderness quiet moment shared pet,tenderness,20160210 194500,petlove,twitter,tenderness petlove,25.0,50.0,canada,2016,2,10,19
159,161,arousal excitement upcoming festival,arousal,20170925 113000,festivalfan,instagram,arousal festivalexcitement,20.0,40.0,uk,2017,9,25,11
160,162,enthusiasm diy home improvement project,enthusiasm,20180415 160000,diyenthusiast,facebook,enthusiasm homeimprovement,15.0,30.0,australia,2018,4,15,16
161,163,fulfillment completing challenging puzzle,fulfillment,20191128 182000,puzzlemaster,twitter,fulfillment puzzlechallenge,22.0,45.0,india,2019,11,28,18
162,164,reverence wonders nature hiking trail,reverence,20200511 150000,natureadmirer,instagram,reverence natureexploration,18.0,35.0,usa,2020,5,11,15
163,165,elation surprise reunion childhood friend,elation,20210205 093000,childhoodjoy,facebook,elation friendshipreunion,25.0,50.0,canada,2021,2,5,9
164,166,suffering despair another setback,despair,20210310 083000,strugglingsoul,twitter,despair struggle,5.0,10.0,usa,2021,3,10,8
165,167,overwhelmed grief missing loved one dearly,grief,20220705 154500,mourningheart,instagram,grief loss,8.0,15.0,canada,2022,7,5,15
166,168,loneliness creeps night grows colder,loneliness,20191118 212000,solitarysoul,facebook,loneliness isolation,10.0,20.0,uk,2019,11,18,21
167,169,jealousy consumes witness others success,jealousy,20200812 113000,enviousobserver,twitter,jealousy envy,12.0,25.0,india,2020,8,12,11
168,170,resentment building past betrayals,resentment,20180522 144500,bitterheart,instagram,resentment bitterness,7.0,15.0,australia,2018,5,22,14
169,171,frustration mounts obstacles block path,frustration,20170130 161000,blockedgoals,facebook,frustration obstacles,10.0,20.0,usa,2017,1,30,16
170,172,boredom sets day feels endlessly dull,boredom,20160928 194500,boredmind,twitter,boredom lackofinterest,8.0,15.0,canada,2016,9,28,19
171,173,anxiety grips heart worry clouds thoughts,anxiety,20190415 090000,worriedmind,instagram,anxiety worry,12.0,25.0,uk,2019,4,15,9
172,174,intimidation unknown future ahead,intimidation,20211203 183000,fearfulsoul,facebook,intimidation fear,15.0,30.0,india,2021,12,3,18
173,175,helplessness sinks challenges pile,helplessness,20200620 142000,overwhelmedheart,twitter,helplessness overwhelmed,8.0,15.0,australia,2020,6,20,14
174,176,envy eats away see others prosperity,envy,20181107 113000,covetousmind,instagram,envy desire,10.0,20.0,canada,2018,11,7,11
175,177,regret missed opportunities haunts thoughts,regret,20170825 160000,remorsefulsoul,facebook,regret missedchances,12.0,25.0,uk,2017,8,25,16
176,178,disgust sight injustice cruelty,disgust,20190211 094500,disgustedheart,twitter,disgust injustice,7.0,15.0,india,2019,2,11,9
177,179,drowning despair hope slipping fingers,despair,20160402 202000,hopelessheart,instagram,despair hopeless,10.0,20.0,usa,2016,4,2,20
178,180,grief weighs heavy tears constant companion,grief,20151018 153000,tearfulsoul,facebook,grief tears,12.0,25.0,canada,2015,10,18,15
179,181,loneliness crowded room silent cry connection,loneliness,20190712 181000,isolatedmind,twitter,loneliness seekingconnection,15.0,30.0,uk,2019,7,12,18
180,182,jealousy gnaws confidence toxic emotion,jealousy,20180603 163000,selfdoubt,instagram,jealousy insecurity,8.0,15.0,india,2018,6,3,16
181,183,resentment festers poisoning relationships,resentment,20220115 120000,brokentrust,facebook,resentment brokentrust,10.0,20.0,australia,2022,1,15,12
182,184,frustration boils volcanic eruption emotions,frustration,20170410 144500,explosivemind,twitter,frustration emotionaloutburst,12.0,25.0,usa,2017,4,10,14
183,185,boredom settles like dust life feels mundane,boredom,20161128 190000,mundaneheart,instagram,boredom monotony,7.0,15.0,canada,2016,11,28,19
184,186,anxiety grips chest relentless grip thoughts,anxiety,20180905 093000,restlessmind,facebook,anxiety restlessness,10.0,20.0,uk,2018,9,5,9
185,187,intimidation challenges ahead fear takes hold,intimidation,20211022 183000,fearfuljourney,twitter,intimidation facingfear,15.0,30.0,india,2021,10,22,18
186,188,helplessness engulfs drowning sea problems,helplessness,20190508 142000,overwhelmedsoul,instagram,helplessness struggling,8.0,15.0,australia,2019,5,8,14
187,189,envy poisons thoughts coveting others success,envy,20170320 113000,greeneyedmonster,facebook,envy success,10.0,20.0,canada,2017,3,20,11
188,190,regret decisions led painful present,regret,20181215 160000,regretfulmind,twitter,regret pastchoices,12.0,25.0,usa,2018,12,15,16
189,191,disgust corruption stains society,disgust,20160701 094500,corruptedheart,instagram,disgust corruption,7.0,15.0,uk,2016,7,1,9
190,192,sinking despair day darker last,despair,20200820 202000,drowningsoul,facebook,despair darkdays,10.0,20.0,india,2020,8,20,20
191,193,grief overwhelms storm emotions within,grief,20210225 153000,stormyheart,twitter,grief emotionalstorm,12.0,25.0,canada,2021,2,25,15
192,194,loneliness echoes empty spaces yearning connection,loneliness,20190912 181000,echoingsoul,instagram,loneliness yearningforconnection,15.0,30.0,australia,2019,9,12,18
193,195,jealousy poisons thoughts resentment brewing within,jealousy,20180805 163000,poisonedmind,facebook,jealousy resentment,8.0,15.0,usa,2018,8,5,16
194,196,resentment festers wound refuses heal,resentment,20170112 120000,unforgivingsoul,twitter,resentment unforgiving,10.0,20.0,india,2017,1,12,12
195,197,frustration escalates thunderstorm emotions,frustration,20220405 144500,thunderingmind,instagram,frustration emotionaloutburst,12.0,25.0,uk,2022,4,5,14
196,198,boredom lingers stagnant pool indifference,boredom,20211002 190000,stagnantheart,facebook,boredom stagnation,7.0,15.0,canada,2021,10,2,19
197,199,embarking journey discovery fueled curiosity thirst knowledge,curiosity,20230415 101500,inquisitivemind,twitter,curiosity learning,15.0,30.0,usa,2023,4,15,10
198,200,lost vast sea information indifferent wave digital ocean,indifference,20221128 173000,apatheticobserver,instagram,indifference digitaloverload,7.0,15.0,canada,2022,11,28,17
199,201,complex puzzle life leaves state perpetual confusion seeking answers chaos,confusion,20200402 094500,seekingclarity,facebook,confusion lifepuzzle,10.0,20.0,uk,2020,4,2,9
200,202,numbness settles shield overwhelming emotions life throws way,numbness,20210810 140000,emotionallydistant,twitter,numbness emotionalshield,8.0,15.0,india,2021,8,10,14
201,203,gazing sunset melancholic longing moments slip fingers time,melancholy,20190618 204500,sunsetdreamer,instagram,melancholy sunsetmoments,12.0,25.0,australia,2019,6,18,20
202,204,revisiting old photographs caught embrace nostalgias bittersweet symphony,nostalgia,20180205 151500,memorylanetraveler,facebook,nostalgia memorylane,10.0,20.0,usa,2018,2,5,15
203,205,torn conflicting emotions ambivalence paints decisions shades uncertainty,ambivalence,20220530 113000,mixedfeelings,twitter,ambivalence uncertainchoices,12.0,25.0,canada,2022,5,30,11
204,206,embracing ebb flow life finding acceptance dance existence,acceptance,20230110 162000,zenlifestyle,instagram,acceptance lifejourney,15.0,30.0,uk,2023,1,10,16
205,207,facing challenges headon determination fuels fire within achieve impossible,determination,20200918 134500,resilientspirit,facebook,determination achievetheimpossible,10.0,20.0,india,2020,9,18,13
206,208,serenity found stillness nature tranquil retreat chaos modern world,serenity,20210703 190000,naturesoul,twitter,serenity natureretreat,12.0,25.0,australia,2021,7,3,19
